employee_id,pay_date,deferral_amount,source_file,payroll_row_id
E1001,2025-11-21,290.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00047
E1002,2025-11-21,320.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00048
E1003,2025-11-21,295.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00049
E1004,2025-11-21,265.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00050
E1005,2025-11-21,310.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00051
E1006,2025-11-21,275.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00052
E1007,2025-11-21,290.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00053
E1008,2025-11-21,305.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00054
E1009,2025-11-21,280.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00055
E1010,2025-11-21,315.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00056
E1011,2025-11-21,270.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00057
E1012,2025-11-21,300.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00058
E1013,2025-11-21,260.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00059
E1014,2025-11-21,335.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00060
E1015,2025-11-21,282.5,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00061
E1017,2025-11-21,-45.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00062
E1002,2025-11-21,320.0,payroll_realistic.csv.csv,payroll_realistic.csv.csv:PAY00063
